Strategy,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,Win Rate
Momentum-20,308261090.34%,531.53%,72.98%,7.28,-49.87%,56.63%
Momentum-60,1374598.67%,223.92%,71.57%,3.13,-64.73%,53.16%
Mean Reversion,-100.00%,-75.96%,37.28%,-2.04,-100.00%,1.08%
MA Cross 20/50,15609.69%,86.59%,53.24%,1.63,-58.54%,39.30%
MA Cross 50/200,2542.32%,49.76%,52.03%,0.96,-72.31%,36.32%
Buy & Hold,7747.51%,71.28%,61.02%,1.17,-82.55%,54.09%
