Strategy,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,Win Rate
Momentum-20,0.00%,0.00%,nan%,0.00,nan%,nan%
Momentum-60,0.00%,0.00%,nan%,0.00,nan%,nan%
Mean Reversion,0.00%,0.00%,nan%,0.00,nan%,nan%
MA Cross 20/50,0.00%,0.00%,nan%,0.00,nan%,nan%
MA Cross 50/200,0.00%,0.00%,nan%,0.00,nan%,nan%
Buy & Hold,0.00%,0.00%,nan%,0.00,nan%,nan%
