Strategy,Total Return,Annual Return,Volatility,Sharpe Ratio,Max Drawdown,Win Rate
Momentum-20,166269635.21%,189.84%,27.09%,7.01,-28.64%,62.59%
Momentum-60,2777015.74%,113.86%,27.37%,4.16,-34.42%,59.58%
Mean Reversion,-100.00%,-79.26%,28.29%,-2.80,-100.00%,1.62%
MA Cross 20/50,3167.71%,29.57%,23.13%,1.28,-44.54%,53.21%
MA Cross 50/200,2932.74%,28.85%,23.29%,1.24,-37.82%,52.12%
Buy & Hold,4293.88%,32.45%,23.67%,1.37,-41.00%,56.78%
